State,Year,Total Population,White Alone,Black Alone,American Indian or Alaskan Native,Asian Alone,Hawaiian or Pacific Islander Alone,Two or More Races,Not Hispanic,Hispanic,Pop_Youth,Pop_Working,Pop_Senior,Age_Median,Population,Lawful_Permanent_Residents,Nonimmigrants,Naturalizations,Refugees,Asylees,Lawful_Permanent_Residents_Per_Million,Nonimmigrants_Per_Million,Naturalizations_Per_Million,Refugees_Per_Million,Asylees_Per_Million
Arkansas,2022,3047704.0,2392201.0,476609.0,33922.0,56545.0,14535.0,73892.0,2771372.0,276332.0,707275.0,1804189.0,536240.0,38.53,3047704.0,3390.0,68650.0,2530.0,70.0,60.0,1112.641,22524.169,829.477,21.328,18.374
Arkansas,2023,3069463.0,2405333.0,478287.0,35132.0,58797.0,15464.0,76450.0,2783654.0,285809.0,705643.0,1814054.0,549766.0,38.65,3069463.0,3150.0,98510.0,2070.0,150.0,90.0,1026.238,32094.213,675.037,48.217,29.973
Arkansas,2024,3088354.0,2415105.0,480352.0,36414.0,61173.0,16485.0,78825.0,2792779.0,295575.0,701844.0,1823668.0,562842.0,38.77,,,,,,,,,,,
California,2005,35827943.0,27239976.0,2435330.0,489295.0,4489991.0,160962.0,1012389.0,23208112.0,12619831.0,,,,,,,,,,,,,,,
California,2006,36021202.0,27242743.0,2437459.0,510267.0,4604570.0,164707.0,1061456.0,23145097.0,12876105.0,,,,,,,,,,,,,,,
California,2007,36250311.0,27274909.0,2439919.0,534343.0,4717266.0,168751.0,1115123.0,23114006.0,13136305.0,,,,,,,,,,,,,,,
California,2008,36604337.0,27402890.0,2451963.0,562318.0,4839234.0,173104.0,1174828.0,23156344.0,13447993.0,,,,,,,,,,,,,,,
California,2009,36961229.0,27529082.0,2469567.0,596469.0,4951571.0,177386.0,1237154.0,23201362.0,13759867.0,,,,,,,,,,,,,,,
California,2010,37319550.0,27665770.0,2486545.0,623415.0,5063484.0,182077.0,1298259.0,23258589.0,14060961.0,,,,,,,,,,,,,,,
California,2011,37636311.0,27812396.0,2496503.0,627535.0,5179600.0,184600.0,1335677.0,23369690.0,14266621.0,,,,,,,,,,,,,,,
California,2012,37944551.0,27952190.0,2505489.0,632119.0,5295219.0,187154.0,1372380.0,23495176.0,14449375.0,,,,,,,,,,,,,,,
California,2013,38253768.0,28078052.0,2511639.0,636201.0,5428197.0,189743.0,1409936.0,23624361.0,14629407.0,,,,,38260787.0,191810.0,11182800.0,164790.0,6380.0,7740.0,5013.122,292278.463,4307.073,166.724,202.217
California,2014,38586706.0,28209869.0,2524312.0,640834.0,5571320.0,192076.0,1448295.0,23774783.0,14811923.0,,,,,38596972.0,198380.0,10102620.0,140230.0,6110.0,8070.0,5139.756,261746.491,3633.29,158.251,209.032
California,2015,38904296.0,28316294.0,2533479.0,645360.0,5728041.0,194307.0,1486815.0,23916520.0,14987776.0,,,,,38918045.0,209570.0,10609330.0,155980.0,5720.0,8640.0,5384.854,272606.936,4007.884,146.924,222.056
California,2016,39149186.0,28376604.0,2539439.0,649694.0,5864838.0,196494.0,1522117.0,23997187.0,15151999.0,,,,,39167117.0,223140.0,10893310.0,151830.0,7910.0,6460.0,5697.152,278123.738,3876.466,201.93,164.934
California,2017,39337785.0,28386645.0,2547097.0,653777.0,5994813.0,198917.0,1556536.0,24045863.0,15291922.0,,,,,39358497.0,214240.0,14088510.0,157360.0,5160.0,9160.0,5443.374,357953.405,3998.222,131.103,232.834
California,2018,39437463.0,28344812.0,2551709.0,656978.0,6095100.0,200685.0,1588179.0,24034728.0,15402735.0,,,,,39461588.0,200900.0,15523050.0,163060.0,1360.0,10590.0,5090.951,393371.22,4132.094,34.515,268.337
California,2019,39437610.0,28233838.0,2553676.0,661770.0,6172223.0,202312.0,1613791.0,23949466.0,15488144.0,,,,,39512223.0,193090.0,15542200.0,148770.0,1840.0,14290.0,4886.918,393351.799,3765.037,46.593,361.584
California,2020,39521958.0,28174414.0,2572183.0,668197.0,6259888.0,203676.0,1643600.0,23923680.0,15598278.0,8903902.0,24773318.0,5844738.0,37.27,39521958.0,139000.0,7167200.0,112740.0,1190.0,9500.0,3516.931,181347.341,2852.541,30.16,240.246
California,2021,39142565.0,27812160.0,2545972.0,667822.0,6262701.0,203510.0,1650400.0,23522624.0,15619941.0,8736022.0,24431656.0,5974887.0,37.7,39142565.0,135180.0,1859670.0,171860.0,990.0,4970.0,3453.555,47510.198,4390.693,25.19,127.074
California,2022,39142414.0,27649459.0,2538644.0,677361.0,6398883.0,204560.0,1673507.0,23411961.0,15730453.0,8609612.0,24398555.0,6134247.0,37.85,39142414.0,182920.0,8162890.0,182000.0,2180.0,9270.0,4673.217,208543.219,4649.56,55.745,236.802
California,2023,39198693.0,27532477.0,2529558.0,694319.0,6538306.0,206315.0,1697718.0,23321770.0,15876923.0,8498523.0,24381416.0,6318754.0,38.08,39198693.0,205040.0,12482520.0,154520.0,3670.0,4540.0,5230.761,318442.276,3941.866,93.549,115.871
California,2024,39431263.0,27538266.0,2527183.0,716157.0,6711911.0,208908.0,1728838.0,23362048.0,16069215.0,8418552.0,24490838.0,6521873.0,38.31,,,,,,,,,,,
Colorado,2005,4631888.0,4153715.0,189701.0,61304.0,122152.0,6833.0,98183.0,3739469.0,892419.0,,,,,,,,,,,,,,,
Colorado,2006,4720423.0,4222448.0,195570.0,63957.0,126943.0,7137.0,104368.0,3797117.0,923306.0,,,,,,,,,,,,,,,
Colorado,2007,4803868.0,4287008.0,199716.0,66936.0,131336.0,7477.0,111395.0,3849687.0,954181.0,,,,,,,,,,,,,,,
Colorado,2008,4889730.0,4351612.0,205038.0,70894.0,135832.0,7855.0,118499.0,3904831.0,984899.0,,,,,,,,,,,,,,,
Colorado,2009,4972195.0,4411960.0,210643.0,74542.0,140845.0,8263.0,125942.0,3956704.0,1015491.0,,,,,,,,,,,,,,,
Colorado,2010,5047539.0,4464394.0,216113.0,78513.0,146389.0,8512.0,133618.0,4002968.0,1044571.0,,,,,,,,,,,,,,,
Colorado,2011,5121900.0,4522379.0,220263.0,79971.0,151878.0,8865.0,138544.0,4052272.0,1069628.0,,,,,,,,,,,,,,,
Colorado,2012,5193660.0,4576592.0,225326.0,81199.0,157642.0,9316.0,143585.0,4105216.0,1088444.0,,,,,,,,,,,,,,,
Colorado,2013,5270774.0,4634362.0,231137.0,82956.0,163573.0,9699.0,149047.0,4162064.0,1108710.0,,,,,5269035.0,11110.0,559250.0,6260.0,1790.0,90.0,2108.166,106138.411,1188.643,339.531,17.081
Colorado,2014,5352637.0,4696061.0,237725.0,84634.0,169965.0,9976.0,154276.0,4221260.0,1131377.0,,,,,5350101.0,10870.0,532120.0,5970.0,1810.0,70.0,2032.111,99459.618,1114.932,338.872,13.832
Colorado,2015,5454328.0,4773481.0,244540.0,86725.0,178376.0,10393.0,160813.0,4296042.0,1158286.0,,,,,5450623.0,12660.0,586610.0,9420.0,1730.0,100.0,2322.854,107621.643,1728.793,317.395,17.98
Colorado,2016,5543844.0,4841849.0,250330.0,88793.0,185377.0,10758.0,166737.0,4360955.0,1182889.0,,,,,5539215.0,14230.0,599670.0,8680.0,1650.0,120.0,2568.053,108258.3,1566.829,297.335,20.761
Colorado,2017,5617421.0,4896891.0,254637.0,90784.0,191628.0,11025.0,172456.0,4410245.0,1207176.0,,,,,5611885.0,14520.0,723070.0,6100.0,1140.0,170.0,2587.366,128845.655,1087.692,203.853,30.649
Colorado,2018,5697155.0,4955043.0,260756.0,92940.0,198461.0,11440.0,178515.0,4463014.0,1234141.0,,,,,5691287.0,13910.0,843030.0,7970.0,490.0,220.0,2444.614,148127.128,1400.913,85.394,37.777
Colorado,2019,5758486.0,5000945.0,265056.0,94810.0,202369.0,11909.0,183397.0,4503436.0,1255050.0,,,,,5758736.0,13560.0,853520.0,10840.0,620.0,440.0,2354.336,148212.733,1882.358,108.357,75.711
Colorado,2020,5787129.0,5016074.0,267882.0,95212.0,206698.0,12271.0,188992.0,4518529.0,1268600.0,1259539.0,3675250.0,852340.0,37.27,5787129.0,9220.0,402540.0,8260.0,190.0,380.0,1593.709,69557.461,1427.824,33.004,65.663
Colorado,2021,5814036.0,5026657.0,272169.0,96033.0,211842.0,12708.0,194627.0,4524555.0,1289481.0,1244438.0,3686451.0,883147.0,37.53,5814036.0,10150.0,167070.0,8820.0,270.0,140.0,1745.087,28735.976,1516.846,45.579,23.22
Colorado,2022,5850935.0,5041632.0,277992.0,97785.0,220402.0,13030.0,200094.0,4535005.0,1315930.0,1229088.0,3709843.0,912004.0,37.64,5850935.0,11410.0,547570.0,9520.0,630.0,350.0,1950.116,93585.897,1627.603,106.821,58.965
Colorado,2023,5901339.0,5063993.0,285941.0,99855.0,231483.0,13641.0,206426.0,4553570.0,1347769.0,1219816.0,3737490.0,944033.0,37.79,5901339.0,14340.0,736410.0,11450.0,1420.0,620.0,2430.465,124787.442,1939.729,240.962,104.553
Colorado,2024,5957493.0,5088948.0,295736.0,102358.0,243833.0,14155.0,212463.0,4574554.0,1382939.0,1213165.0,3768427.0,975901.0,37.98,,,,,,,,,,,
